name,date,ranknow,open,high,low,close,volume,market,close_ratio,spread
BTC,2013-04-28,1,135.3,135.98,132.1,134.21,0.0,1488566728.0,0.5438,3.88
BTC,2013-04-29,1,134.44,147.49,134.0,144.54,0.0,1603768865.0,0.7813,13.49
BTC,2013-04-30,1,144.0,146.93,134.05,139.0,0.0,1542813125.0,0.3843,12.88
BTC,2013-05-01,1,139.0,139.89,107.72,116.99,0.0,1298954594.0,0.2882,32.17
BTC,2013-05-02,1,116.38,125.6,92.28,105.21,0.0,1168517495.0,0.3881,33.32
BTC,2013-05-03,1,106.25,108.13,79.1,97.75,0.0,1085995169.0,0.6424,29.03
BTC,2013-05-04,1,98.1,115.0,92.5,112.5,0.0,1250316563.0,0.8889,22.5
BTC,2013-05-05,1,112.9,118.8,107.14,115.91,0.0,1288693176.0,0.7521,11.66
BTC,2013-05-06,1,115.98,124.66,106.64,112.3,0.0,1249023060.0,0.3141,18.02
BTC,2013-05-07,1,112.25,113.44,97.7,111.5,0.0,1240593600.0,0.8767,15.74
BTC,2013-05-08,1,109.6,115.78,109.6,113.57,0.0,1264049202.0,0.6424,6.18
BTC,2013-05-09,1,113.2,113.46,109.26,112.67,0.0,1254535382.0,0.8119,4.2
BTC,2013-05-10,1,112.8,122.0,111.55,117.2,0.0,1305479080.0,0.5407,10.45
BTC,2013-05-11,1,117.7,118.68,113.01,115.24,0.0,1284207489.0,0.3933,5.67
BTC,2013-05-12,1,115.64,117.45,113.43,115.0,0.0,1281982625.0,0.3905,4.02
BTC,2013-05-13,1,114.82,118.7,114.5,117.98,0.0,1315710011.0,0.8286,4.2
BTC,2013-05-14,1,117.98,119.8,110.25,111.5,0.0,1243874488.0,0.1309,9.55
BTC,2013-05-15,1,111.4,115.81,103.5,114.22,0.0,1274623813.0,0.8708,12.31
BTC,2013-05-16,1,114.22,118.76,112.2,118.76,0.0,1325726787.0,1.0,6.56
BTC,2013-05-17,1,118.21,125.3,116.57,123.01,0.0,1373723882.0,0.7377,8.73
BTC,2013-05-18,1,123.5,125.25,122.3,123.5,0.0,1379574546.0,0.4068,2.95
BTC,2013-05-19,1,123.21,124.5,119.57,121.99,0.0,1363204703.0,0.4909,4.93
BTC,2013-05-20,1,122.5,123.62,120.12,122.0,0.0,1363709900.0,0.5371,3.5
BTC,2013-05-21,1,122.02,123.0,121.21,122.88,0.0,1374013440.0,0.9329999999999999,1.79
BTC,2013-05-22,1,122.89,124.0,122.0,123.89,0.0,1385778993.0,0.945,2.0
BTC,2013-05-23,1,123.8,126.93,123.1,126.7,0.0,1417769833.0,0.9399,3.83
BTC,2013-05-24,1,126.3,133.85,125.72,133.2,0.0,1491070770.0,0.92,8.13
BTC,2013-05-25,1,133.1,133.22,128.9,131.98,0.0,1477958233.0,0.713,4.32
BTC,2013-05-26,1,131.99,136.0,130.62,133.48,0.0,1495293015.0,0.5316,5.38
BTC,2013-05-27,1,133.5,135.46,124.7,129.74,0.0,1454029510.0,0.4684,10.76
BTC,2013-05-28,1,129.77,130.58,125.6,129.0,0.0,1446189975.0,0.6827,4.98
BTC,2013-05-29,1,129.0,132.59,127.66,132.3,0.0,1483734578.0,0.9412,4.93
BTC,2013-05-30,1,132.25,132.25,127.0,128.8,0.0,1445053941.0,0.3429,5.25
